index,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Lysosome,1.5103086852206148e-20,7.176583365286831,327.53487130635887,"['SCARB2', 'CD63', 'ASAH1', 'HEXB', 'CTSZ', 'HEXA', 'GBA', 'CLTB', 'TCIRG1', 'LIPA', 'GNS', 'LITAF', 'CTSS', 'LAPTM4A', 'LAMP1', 'GM2A', 'CTSL', 'SMPD1', 'LAMP2', 'PSAP', 'IDS', 'ACP5', 'CTSH', 'CTSD', 'ARSB', 'CTSC', 'CTSB', 'CTSA', 'CD164', 'ABCA2', 'DNASE2A', 'ATP6AP1', 'SLC11A1', 'FUCA1', 'GAA', 'M6PR', 'LAPTM5', 'NAGA', 'NPC1', 'NPC2', 'PPT1', 'TPP1', 'MAN2B1', 'ATP6V0D1', 'CD68', 'ATP6V0C', 'LGMN']",4.4403075345486074e-18,0,0,KEGG2019Mouse
1,2,Phagosome,2.6986615064574293e-15,4.517684887459807,151.55034977122693,"['ITGB1', 'RAB7', 'NCF1', 'ITGB5', 'NCF4', 'ITGB2', 'TCIRG1', 'ACTB', 'CTSS', 'TUBA1C', 'TUBB5', 'TUBA1A', 'LAMP1', 'CTSL', 'LAMP2', 'SEC61B', 'ATP6V1E1', 'ATP6V1G1', 'ATP6AP1', 'STX7', 'TAP2', 'TAP1', 'CYBB', 'CYBA', 'FCGR1', 'FCGR3', 'TUBB2A', 'FCGR4', 'CANX', 'ATP6V1B2', 'ATP6V0D1', 'ATP6V0C', 'ATP6V0E', 'TLR2', 'ATP6V1A', 'DYNC1I2', 'RAB5C', 'THBS2', 'CORO1A', 'THBS1', 'C3', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'MSR1', 'DYNC1H1', 'C1RA', 'M6PR', 'CALR', 'FCGR2B']",3.967032414492421e-13,0,0,KEGG2019Mouse
2,3,Osteoclast differentiation,2.963629099233721e-12,4.746355685131196,125.990144215454,"['CSF1R', 'SPI1', 'NCF1', 'CSF1', 'NCF4', 'TREM2', 'PIRB', 'SOCS3', 'PPP3CA', 'PPP3R1', 'SOCS1', 'SIRPA', 'ACP5', 'JUNB', 'IFNAR2', 'MAP2K1', 'JUN', 'IFNGR1', 'STAT1', 'IFNGR2', 'STAT2', 'CYBA', 'LILRB4A', 'TGFBR1', 'MAPK12', 'TNFRSF1A', 'FCGR1', 'FOSL1', 'NFKBIA', 'FCGR3', 'TYROBP', 'IFNG', 'FCGR4', 'IL1B', 'GRB2', 'FCGR2B', 'IRF9']",2.9043565172490463e-10,0,0,KEGG2019Mouse
3,4,Influenza A,1.9795401169845176e-11,3.896139901898059,96.02259440683358,"['CCL12', 'OAS1A', 'ADAR', 'FURIN', 'ACTB', 'ICAM1', 'IFIH1', 'SOCS3', 'DNAJB1', 'CCL5', 'TNFSF10', 'CASP1', 'TRIM25', 'CCL2', 'JAK2', 'IFNAR2', 'FDPS', 'HSPA8', 'MAP2K1', 'JUN', 'RSAD2', 'DDX58', 'IFNGR1', 'STAT1', 'IFNGR2', 'STAT2', 'EIF2AK2', 'PML', 'MAPK12', 'TNFRSF1A', 'NFKBIA', 'CXCL10', 'IFNG', 'OAS2', 'IL1B', 'OAS3', 'IRF7', 'FAS', 'MYD88', 'IRF9', 'TLR3', 'HSPA1B']",1.4549619859836205e-09,0,0,KEGG2019Mouse
4,5,Tuberculosis,1.4310035583551327e-10,3.607683188438523,81.77706827530307,"['RAB7', 'CEBPB', 'CAMK2D', 'RAB5C', 'ITGB2', 'LSP1', 'TCIRG1', 'CORO1A', 'CTSS', 'HSPD1', 'C3', 'PPP3CA', 'PPP3R1', 'LAMP1', 'LAMP2', 'ITGAX', 'JAK2', 'CTSD', 'HSPA9', 'CD74', 'FCER1G', 'ATP6AP1', 'IFNGR1', 'STAT1', 'NFYB', 'IFNGR2', 'IL10RA', 'MAPK12', 'TNFRSF1A', 'FCGR1', 'FCGR3', 'IFNG', 'FCGR4', 'IL1B', 'CALM3', 'ATP6V0D1', 'CALM1', 'FCGR2B', 'CALM2', 'ATP6V0C', 'MYD88', 'TLR2']",8.41430092312818e-09,0,0,KEGG2019Mouse
5,6,Rheumatoid arthritis,1.7781780274375717e-10,5.504702821693016,123.5820187622849,"['CD86', 'ATP6V1A', 'CCL12', 'CSF1', 'ITGB2', 'TCIRG1', 'ITGAL', 'ICAM1', 'CTSL', 'CCL5', 'ACP5', 'CCL2', 'ATP6V1E1', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'ATP6V1G1', 'JUN', 'ATP6AP1', 'IL15', 'IFNG', 'IL1B', 'ATP6V1B2', 'ATP6V0D1', 'ATP6V0C', 'TLR2', 'ATP6V0E']",8.713072334444102e-09,0,0,KEGG2019Mouse
6,7,Leishmaniasis,9.103103182810301e-10,6.0635702792782435,126.22677087138456,"['ITGB1', 'JUN', 'NCF1', 'ITGA4', 'IFNGR1', 'STAT1', 'IFNGR2', 'ITGB2', 'NCF4', 'CYBB', 'CYBA', 'MAPK12', 'FCGR1', 'C3', 'NFKBIA', 'FCGR3', 'IFNG', 'FCGR4', 'IL1B', 'PTPN6', 'JAK2', 'MYD88', 'TLR2']",3.823303336780326e-08,0,0,KEGG2019Mouse
7,8,Human papillomavirus infection,7.618905962011982e-09,2.4401475379175057,45.612782519264464,"['ITGB1', 'CDKN1A', 'ITGB5', 'TNC', 'PTEN', 'LAMC1', 'TCIRG1', 'CCND2', 'CCND1', 'ATP6V1E1', 'PRKACB', 'OASL1', 'OASL2', 'IFNAR2', 'ATP6V1G1', 'MAP2K1', 'ATP6AP1', 'ITGA4', 'ITGA3', 'ITGA1', 'PPP2R5C', 'TUBG1', 'TNFRSF1A', 'CREB3', 'COL4A2', 'COL4A1', 'COL6A2', 'IRF1', 'COL6A1', 'ATP6V1B2', 'TBPL1', 'COL6A3', 'ATP6V0D1', 'ATP6V0C', 'TLR3', 'IRF9', 'ATP6V0E', 'ATP6V1A', 'NOTCH2', 'HDAC2', 'LAMA4', 'UBR4', 'THBS2', 'THBS1', 'CDC42', 'SPP1', 'EIF4EBP1', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'STAT1', 'STAT2', 'WNT7B', 'FN1', 'EIF2AK2', 'ISG15', 'COL1A1', 'CDK6', 'CDK4', 'GNAS', 'FAS', 'GRB2']",2.7999479410394035e-07,0,0,KEGG2019Mouse
8,9,Alzheimer disease,1.2491238144980274e-08,3.231820532050177,58.813440465665096,"['APP', 'RTN3', 'NDUFA13', 'NDUFA11', 'LRP1', 'COX4I1', 'ATP2A2', 'COX7A2', 'COX6A1', 'COX5B', 'COX7C', 'RTN4', 'PPP3CA', 'NCSTN', 'PPP3R1', 'CASP12', 'ATP5E', 'NDUFV3', 'APOE', 'COX8A', 'PSENEN', 'MME', 'NDUFA3', 'NDUFA1', 'ADAM10', 'SDHA', 'COX6C', 'COX6B1', 'TNFRSF1A', 'COX7A2L', 'PLCB3', 'IL1B', 'NDUFAB1', 'NDUFS3', 'FAS', 'CALM3', 'CALM1', 'CALM2']",4.0804711273602225e-07,0,0,KEGG2019Mouse
9,10,AGE-RAGE signaling pathway in diabetic complications,1.6226795034409907e-08,4.236178193402528,75.9826420299867,"['CCL12', 'ICAM1', 'CDC42', 'CCND1', 'PIM1', 'CCL2', 'JAK2', 'EGR1', 'JUN', 'VCAM1', 'STAT1', 'MMP2', 'PRKCD', 'STAT3', 'FN1', 'VEGFB', 'CYBB', 'VEGFD', 'TGFBR1', 'MAPK12', 'COL1A1', 'PLCB3', 'COL3A1', 'COL4A2', 'COL4A1', 'CDK4', 'IL1B']",4.3124856332499085e-07,0,0,KEGG2019Mouse
