index,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Ribosome,3.529795154169216e-61,18.293167504870645,2546.3439911780683,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL31', 'RPL34', 'RPLP0', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'MRPL33', 'RPS15', 'RPS4X', 'RPS14', 'RPS17', 'RPS16', 'RPS19', 'RPL18A', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'MRPS18A', 'RPL13A', 'RPSA', 'MRPS18C', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'MRPL13', 'MRPL20', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'MRPL23', 'RPS26', 'MRPL30', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS3A1', 'RPL27A', 'RPS20', 'RPL22L1', 'FAU', 'RPS21', 'RPS24', 'RPS23']",9.706936673965345e-59,0,0,KEGG2019Mouse
1,2,Oxidative phosphorylation,1.6713526348072387e-60,23.966600463422708,3298.798174292925,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'ATP5C1', 'TCIRG1', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6AP1', 'NDUFC2', 'SDHA', 'ATP5F1', 'ATP5J2', 'COX6B1', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'ATP6V1B2', 'NDUFS3', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'ATP6V0D1', 'ATP6V0C', 'ATP6V0E', 'ATP6V1A', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'ATP5A1', 'NDUFB3', 'ATP5K', 'NDUFB2', 'ATP5J', 'COX7A2', 'UQCR11', 'ATP5H', 'UQCR10', 'ATP5O', 'COX5B', 'UQCRH', 'ATP5L', 'ATP5B', 'ATP5E', 'ATP6V1H', 'NDUFV3', 'CYC1', 'NDUFV2', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ']",2.2981098728599532e-58,0,0,KEGG2019Mouse
2,3,Parkinson disease,2.189874406908787e-48,16.657336811975988,1827.9801440041233,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'ATP5C1', 'UBE2L6', 'COX6A1', 'COX7C', 'UBE2L3', 'CASP3', 'UQCRFS1', 'PRKACB', 'COX8A', 'NDUFC2', 'SDHA', 'ATP5F1', 'COX6B1', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'NDUFS3', 'VDAC2', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'SLC25A5', 'SLC25A4', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'UBA7', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'ATP5A1', 'NDUFB3', 'NDUFB2', 'ATP5J', 'COX7A2', 'UQCR11', 'ATP5H', 'UQCR10', 'ATP5O', 'COX5B', 'UQCRH', 'ATP5B', 'UBB', 'ATP5E', 'NDUFV3', 'CYC1', 'NDUFV2', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'CYCS']",2.0073848729997213e-46,0,0,KEGG2019Mouse
3,4,Alzheimer disease,1.077381898269011e-45,12.931717630841165,1338.9732592269759,"['APP', 'NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'ATP5C1', 'COX6A1', 'COX7C', 'CASP3', 'UQCRFS1', 'COX8A', 'PSENEN', 'ADAM10', 'NDUFC2', 'SDHA', 'ATP5F1', 'COX6B1', 'TNFRSF1A', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'NDUFS3', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'GAPDH', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'ATP5A1', 'NDUFB3', 'NDUFB2', 'ATP5J', 'COX7A2', 'UQCR11', 'ATP5H', 'UQCR10', 'ATP5O', 'COX5B', 'UQCRH', 'RTN4', 'ATP5B', 'PPP3R1', 'ATP5E', 'MAPK1', 'NDUFV3', 'APOE', 'CYC1', 'NDUFV2', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2']",7.407000550599451e-44,0,0,KEGG2019Mouse
4,5,Huntington disease,2.1067938822058372e-44,11.57635932269492,1164.2179814577403,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'CLTC', 'ATP5C1', 'CLTA', 'COX6A1', 'COX7C', 'CASP3', 'UQCRFS1', 'AP2M1', 'TGM2', 'COX8A', 'GPX1', 'NDUFC2', 'SDHA', 'ATP5F1', 'COX6B1', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'NDUFS3', 'VDAC2', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'SLC25A5', 'SLC25A4', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'DCTN2', 'NDUFB11', 'NDUFB5', 'DCTN1', 'NDUFB4', 'ATP5A1', 'NDUFB3', 'NDUFB2', 'ATP5J', 'COX7A2', 'UQCR11', 'ATP5H', 'UQCR10', 'ATP5O', 'COX5B', 'UQCRH', 'ATP5B', 'ATP5E', 'AP2S1', 'POLR2G', 'NDUFV3', 'CYC1', 'NDUFV2', 'POLR2L', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'SOD2', 'UQCRQ', 'CYCS']",1.1587366352132105e-42,0,0,KEGG2019Mouse
5,6,Thermogenesis,4.402687635056988e-34,7.952803614137656,610.8204734351992,"['COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'ATP5C1', 'COX6A1', 'COX7C', 'ACTB', 'ACTG1', 'UQCRFS1', 'PRKACB', 'COX8A', 'RPS6', 'NDUFC2', 'SDHA', 'ATP5F1', 'COX6B1', 'ATP5J2', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'NDUFS3', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'ATP5A1', 'COX17', 'NDUFB3', 'ATP5K', 'NDUFB2', 'ATP5J', 'UQCR11', 'COX7A2', 'ATP5H', 'UQCR10', 'ATP5O', 'COX5B', 'UQCRH', 'ATP5L', 'ATP5B', 'ATP5E', 'COX14', 'NDUFV3', 'CYC1', 'NDUFV2', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'RHEB', 'GNAS', 'GRB2']",2.0178984994011197e-32,0,0,KEGG2019Mouse
6,7,Non-alcoholic fatty liver disease (NAFLD),3.2223111330848566e-31,10.234266517357224,718.5482517040294,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NDUFA10', 'COX6A1', 'COX7C', 'CASP3', 'UQCRFS1', 'RAC1', 'COX8A', 'NDUFC2', 'SDHA', 'COX6B1', 'TNFRSF1A', 'COX7A2L', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'UQCRC1', 'NDUFS3', 'NDUFS2', 'NDUFS1', 'UQCRC2', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'UQCRH', 'NDUFV3', 'CYC1', 'NDUFV2', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'CYCS']",1.2659079451404794e-29,0,0,KEGG2019Mouse
7,8,Proteasome,2.4274625715583167e-18,18.467042391570693,749.0174254479323,"['PSMD14', 'POMP', 'PSMB10', 'PSMB8', 'PSMB9', 'PSMD8', 'SEM1', 'PSMB7', 'PSMA6', 'PSMB4', 'PSMC5', 'PSMB5', 'PSMA4', 'PSMB2', 'PSMC3', 'PSMA1', 'PSMB3', 'PSMA2', 'PSMC1', 'PSMB1', 'PSMD3', 'PSME1', 'PSMD1', 'PSME2']",8.344402589731713e-17,0,0,KEGG2019Mouse
8,9,Phagosome,4.629942279839017e-16,5.372489624894914,189.69625346422055,"['ATP6V1A', 'ITGB1', 'DYNC1I2', 'RAB7', 'RAB5C', 'TCIRG1', 'THBS2', 'CORO1A', 'THBS1', 'ACTB', 'CTSS', 'ACTG1', 'C3', 'TUBA1A', 'LAMP1', 'CTSL', 'SEC61G', 'LAMP2', 'ATP6V1H', 'RAC1', 'ATP6V1E1', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'DYNC1H1', 'ATP6V1G1', 'ATP6AP1', 'STX7', 'M6PR', 'TAP1', 'CYBB', 'CYBA', 'TUBB4B', 'FCGR1', 'DYNC1LI1', 'FCGR3', 'FCGR4', 'ATP6V1B2', 'ATP6V0D1', 'RAB5A', 'ATP6V0C', 'ATP6V0E', 'TLR2']",1.4147045855063662e-14,0,0,KEGG2019Mouse
9,10,Retrograde endocannabinoid signaling,3.04273680838666e-15,5.788850253477187,193.49821866839494,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB6', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFA10', 'NDUFB3', 'NDUFB2', 'GNG10', 'MAPK1', 'NDUFV3', 'NDUFV2', 'PRKACB', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'GNG12', 'GNG11', 'NDUFS8', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'GNB4', 'NDUFS3', 'NDUFS2', 'NDUFS1']",8.367526223063315e-14,0,0,KEGG2019Mouse
