Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,region,comparison
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,44/101,2.162599920640252e-08,1.6635384004925013e-07,0,0,3.246022458710208,57.29025003589868,CCL12;CDKN1B;PIK3R1;FOXO1;RELA;CDC42;NRAS;CCND1;AKT2;CASP3;PIM1;PLCG2;AKT1;PLCE1;CCL2;PLCG1;JAK2;HRAS;MAPK3;SMAD2;STAT5B;EGR1;TGFB2;JUN;TGFB1;VCAM1;STAT1;PRKCE;STAT3;FN1;CYBB;PRKCA;NFKB1;TGFBR1;TGFBR2;VEGFA;PLCB3;PLCB4;PIK3CA;COL4A1;CDK4;COL4A5;BAX;PLCD1,within_sample,B7_ADI_127891,B7_ADI_127891_cluster4_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,23/101,5.670564632910546e-07,4.897305819331835e-06,0,0,3.860690419118181,55.52756501371496,JUN;CCL12;TGFB1;VCAM1;STAT1;STAT3;FN1;CYBB;PIK3R1;AGER;TGFBR1;COL1A1;COL3A1;COL1A2;CCND1;COL4A1;CDK4;PIM1;BCL2;COL4A5;CCL2;BAX;PLCB2,within_sample,B7_SAL_12789R1,B7_SAL_12789R1_cluster4_vs_cluster6
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,57/101,4.337996035100361e-08,3.4475652700008134e-07,0,0,2.9944855444106566,50.76631669178767,CDKN1B;SERPINE1;TNF;ICAM1;THBD;CCND1;AKT2;CASP3;PIM1;AKT1;PLCE1;RAC1;JAK2;PRKCE;CYBB;TGFBR1;TGFBR2;IL1A;PLCB3;COL4A2;PIK3CA;COL4A1;PLCB2;CCL12;PIK3R2;PIK3R1;FOXO1;RELA;CDC42;NRAS;PLCG2;CCL2;PLCG1;SMAD2;STAT5A;STAT5B;EGR1;TGFB2;SMAD4;JUN;TGFB1;VCAM1;STAT1;STAT3;FN1;NFATC1;MAPK14;NFKB1;AGT;VEGFA;COL1A1;DIAPH1;CDK4;BCL2;BAX;KRAS;PLCD1,within_sample,B7_ADI_130660,B7_ADI_130660_cluster4_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,2/101,0.0157722711539067,0.040745033814259,0,0,11.146464646464649,46.25227590562789,CCND1;STAT1,within_sample,B7_SAL_127891,B7_SAL_127891_cluster5_vs_cluster6
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,33/101,9.036455243389454e-07,6.546731500922445e-06,0,0,3.0728737699943647,42.76465778937553,CCL12;CDKN1B;PIK3CD;PIK3R1;FOXO1;RELA;ICAM1;CDC42;NRAS;CCND1;CASP3;PLCG2;AKT1;PLCE1;CCL2;JAK2;EGR1;JUN;TGFB1;VCAM1;STAT1;PRKCD;STAT3;FN1;CYBB;MAPK14;NFKB1;TGFBR1;TGFBR2;PLCB4;COL4A1;CDK4;BAX,within_sample,B7_SAL_127891,B7_SAL_127891_cluster4_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,7/101,0.0006477460595502004,0.0030182210008828,0,0,5.1989853865374425,38.171012169471794,EGR1;JUN;CCND1;PRKCB;STAT1;STAT3;CYBB,across_sample,inTumour,cluster1_B7_ADI_130660_vs_B7_SAL_12789R1
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,43/101,1.3901069846073908e-06,1.04953077337858e-05,0,0,2.734753323149924,36.881238413983326,CCL12;CDKN1B;PIK3R2;PIK3R1;PRKCZ;FOXO1;RELA;CDC42;NRAS;CCND1;AKT2;CASP3;PIM1;AKT1;PLCE1;CCL2;PLCG1;JAK2;HRAS;SMAD2;EGR1;TGFB2;SMAD4;JUN;TGFB1;VCAM1;STAT1;PRKCE;STAT3;FN1;CYBB;PRKCA;NFKB1;TGFBR1;TGFBR2;VEGFA;PLCB3;PLCB4;COL4A1;CDK4;COL4A5;BAX;PLCD1,within_sample,B7_ADI_127891,B7_ADI_127891_cluster1_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,55/101,1.889128583644901e-06,1.0407381106261912e-05,0,0,2.582699836361,34.038421056916484,CDKN1B;ICAM1;CCND1;AKT2;CASP3;AKT3;PIM1;AKT1;PLCE1;RAC1;JAK2;PRKCB;PRKCE;CYBB;F3;TGFBR1;TGFBR2;PLCB3;COL4A2;PIK3CA;COL4A1;COL4A5;CCL12;PIK3R3;PIK3R2;PIK3R1;PRKCZ;FOXO1;RELA;CDC42;NRAS;PLCG2;CCL2;MAPK1;PLCG1;MAPK3;SMAD2;STAT5B;EGR1;SMAD4;JUN;TGFB1;VCAM1;TGFB3;STAT1;STAT3;FN1;NFKB1;AGT;MAPK12;VEGFA;CDK4;BCL2;BAX;PLCD1,within_sample,B7_SAL_12789R1,B7_SAL_12789R1_cluster5_vs_cluster6
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,6/101,0.0018701828289476,0.0084810616661581,0,0,4.984147114774889,31.309012045374505,JUN;CCND1;COL4A1;STAT1;STAT3;FN1,within_sample,B7_SAL_12789R1,B7_SAL_12789R1_cluster4_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,33/101,9.698861926735246e-06,6.041582741862164e-05,0,0,2.7081144957983194,31.261125116022768,CCL12;CDKN1B;PIK3R3;PIK3R2;PIK3R1;RELA;NRAS;CCND1;AKT2;CASP3;PLCG2;AKT1;PLCE1;PLCG1;JAK2;STAT5B;EGR1;SMAD4;JUN;VCAM1;STAT1;STAT3;FN1;F3;TGFBR1;AGT;MAPK12;TGFBR2;PLCB3;PIK3CA;COL4A1;CDK4;BAX,within_sample,B7_SAL_12789R1,B7_SAL_12789R1_cluster1_vs_cluster6
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,3/101,0.0110160438633555,0.0409899306543463,0,0,6.891581632653061,31.070024108171523,EGR1;STAT1;AKT1,within_sample,B7_ADI_12890R1,B7_ADI_12890R1_cluster5_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,14/101,0.0002452784897161279,0.0019131722197857,0,0,3.323452528360412,27.628247386608987,JUN;VCAM1;STAT1;MMP2;SERPINE1;FN1;CYBB;NRAS;CCND1;COL4A2;COL4A4;CASP3;CCL2;PLCB2,within_sample,B7_SAL_127891,B7_SAL_127891_cluster5_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,55/101,1.0500529223088796e-05,4.7330743662280847e-05,0,0,2.3945519318204185,27.45134664354181,CDKN1B;ICAM1;CCND1;AKT2;CASP3;AKT3;PIM1;AKT1;PLCE1;RAC1;JAK2;HRAS;PRKCE;CYBB;TGFBR1;TGFBR2;IL1A;PLCB3;PIK3CA;COL4A1;PLCB2;CCL12;PIK3R3;PIK3R2;PIK3R1;FOXO1;RELA;CDC42;NRAS;PLCG2;CCL2;MAPK1;PLCG1;MAPK3;SMAD2;STAT5B;EGR1;SMAD4;JUN;TGFB1;VCAM1;SMAD3;STAT1;STAT3;FN1;VEGFB;NFKB1;AGT;MAPK12;VEGFA;CDK4;BCL2;BAX;KRAS;PLCD1,within_sample,B7_ADI_130660,B7_ADI_130660_cluster1_vs_cluster2
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,6/101,0.0032509719777449,0.0104917732009041,0,0,4.441426146010187,25.44404768936904,JUN;CCND1;STAT1;STAT3;BAX;PIK3R1,within_sample,B7_SAL_12789R1,B7_SAL_12789R1_cluster1_vs_cluster2
